"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86"
"21MC010024CUNA03_00102_1_BayouBelle_G2","t1","t3",44,24,24,52,0,0,0,0,101,130,14,0,0,0,0,46,0,60,109,0,0,0,262,96,499,194,0,0,0,0,3,0,3,5,0,1,273,595,0,0,0,0,"0x00b06040",100,"0x00c06040",71,"0x00c07050",66,"0x00b05040",52,"0x00a06040",50,"0x00d07050",47,"0x00b07050",43,"0x00a05040",37,"0x00d08050",35,"0x00c07040",33,"0x00a05030",29,"0x00b07040",28,"0x00906040",25,"0x00905030",25,"0x00b05030",25,"0x00d06040",23,"0x00c05040",23,"0x00805030",22,"0x00c08050",20,"0x00d07040",19,"11012021  11:01:08"
"21MC010024CUNA03_00102_1_BayouBelle_G2","t1","t3",37,30,14,52,0,0,0,0,42,13,11,0,0,0,0,105,0,60,112,0,0,0,174,31,339,199,0,0,0,0,3,0,3,5,0,1,147,354,0,0,0,0,"0x00a06040",111,"0x00905030",111,"0x00a05030",104,"0x00904030",73,"0x00805030",61,"0x00b06040",59,"0x00804030",46,"0x00905040",45,"0x00704030",43,"0x00906040",39,"0x00a05040",28,"0x00b05030",26,"0x00c06040",22,"0x00a04030",18,"0x00b05040",18,"0x00a07040",17,"0x00705030",17,"0x00b07050",16,"0x00c07040",14,"0x00b07040",13,"11012021  11:01:09"
"21MC010024CUNA03_00102_1_BayouBelle_G2","t1","t3",32,20,12,58,0,0,0,0,174,48,13,0,0,0,0,134,0,62,113,0,0,0,270,114,461,179,0,0,0,0,3,0,3,5,0,1,30,330,0,0,0,0,"0x00a06040",114,"0x00b06040",84,"0x00905030",75,"0x00a05030",67,"0x00c06040",45,"0x00906040",45,"0x00b05040",43,"0x00a05040",37,"0x00b05030",35,"0x00b07040",31,"0x00805030",28,"0x00804030",24,"0x00b07050",22,"0x00c07040",21,"0x00905040",20,"0x00904030",19,"0x00a07040",16,"0x00a07050",16,"0x00d07040",13,"0x00c07050",12,"11012021  11:01:12"
"21MC010024CUNA03_00102_1_BayouBelle_G2","t1","t3",50,28,29,33,0,0,0,0,3,29,14,0,0,0,0,151,0,62,132,0,0,0,165,36,501,310,0,0,0,0,3,0,3,5,0,1,190,495,0,0,0,0,"0x00905030",108,"0x00804030",68,"0x00a05040",66,"0x00805030",63,"0x00a05030",61,"0x00905040",56,"0x00704030",55,"0x00906040",55,"0x00b05040",55,"0x00904030",51,"0x00a06040",42,"0x00b06040",29,"0x00b07050",26,"0x00c06040",20,"0x00b08050",19,"0x00805040",17,"0x00a07050",16,"0x00c08050",11,"0x00a04030",10,"0x00705030",9,"11012021  11:01:13"
"21MC010024CUNA03_00102_1_BayouBelle_G2","t1","t3",31,24,10,67,0,0,0,0,151,69,52,0,0,0,0,45,0,64,107,0,0,0,182,27,269,149,0,0,0,0,3,0,3,5,0,1,226,380,0,0,0,0,"0x00a06040",114,"0x00905030",107,"0x00a05030",96,"0x00b06040",62,"0x00805030",40,"0x00b06030",36,"0x00b07040",34,"0x00b05030",31,"0x00a06030",28,"0x00c06040",27,"0x00c07040",23,"0x00c06030",21,"0x00904030",21,"0x00906040",21,"0x00c08050",17,"0x00b07050",16,"0x00804030",14,"0x00c07050",14,"0x00a05040",13,"0x00906030",13,"11012021  11:01:14"
"21MC010024CUNA03_00102_1_BayouBelle_G2","t1","t3",30,17,13,49,0,0,0,0,332,65,28,0,0,0,0,61,0,61,112,0,0,0,300,166,621,242,0,0,0,0,3,0,3,5,0,1,160,574,0,0,0,0,"0x00b06040",141,"0x00a06040",84,"0x00c06040",74,"0x00905030",52,"0x00b05040",46,"0x00a05030",44,"0x00b07050",37,"0x00a05040",36,"0x00c07050",34,"0x00b05030",32,"0x00c05040",28,"0x00904030",28,"0x00b07040",27,"0x00c07040",21,"0x00906040",18,"0x00c08050",18,"0x00805030",17,"0x00d08050",15,"0x00d07050",15,"0x00905040",15,"11012021  11:01:15"
"21MC010024CUNA03_00102_1_BayouBelle_G2","t1","t3",33,26,7,89,0,0,0,0,2,72,21,0,0,0,0,72,0,60,109,0,0,0,346,145,374,114,0,0,0,0,3,0,3,5,0,1,167,401,0,0,0,0,"0x00905030",131,"0x00a06040",130,"0x00a05030",129,"0x00b06040",73,"0x00a05040",62,"0x00904030",49,"0x00805030",36,"0x00a04030",34,"0x00b05030",28,"0x00906040",27,"0x00905040",23,"0x00b07040",22,"0x00804030",22,"0x00a06030",17,"0x00c07040",17,"0x00b05040",12,"0x00804020",11,"0x00b06030",10,"0x00703020",9,"0x00704020",8,"11012021  11:01:16"
"21MC010024CUNA03_00102_1_BayouBelle_G2","t1","t3",46,40,6,43,0,0,0,0,26,184,29,0,0,0,0,92,0,59,122,0,0,0,250,75,578,290,0,0,0,0,3,0,3,5,0,1,104,481,0,0,0,0,"0x00a05030",86,"0x00905030",85,"0x00805030",73,"0x00b06040",62,"0x00904030",56,"0x00a06040",52,"0x00804030",50,"0x00b05030",45,"0x00a04030",42,"0x00704030",37,"0x00703020",34,"0x00a05040",33,"0x00c06040",33,"0x00905040",32,"0x00906040",31,"0x00805040",16,"0x00803020",15,"0x00c07040",13,"0x00b05040",13,"0x00804020",12,"11012021  11:01:18"
"21MC010024CUNA03_00102_1_BayouBelle_G2","t1","t3",39,20,23,45,0,0,0,0,5,47,29,0,0,0,0,100,0,59,113,0,0,0,165,32,364,225,0,0,0,0,3,0,3,5,0,1,128,357,0,0,0,0,"0x00905030",139,"0x00a06040",114,"0x00905040",87,"0x00804030",81,"0x00904030",72,"0x00a05040",69,"0x00b06040",58,"0x00a05030",53,"0x00805030",49,"0x00906040",44,"0x00b05040",29,"0x00704030",18,"0x00a04030",15,"0x00b05030",15,"0x00805040",13,"0x00c07040",9,"0x00b07040",7,"0x00a07040",7,"0x00705030",7,"0x00804020",5,"11012021  11:01:19"
"21MC010024CUNA03_00102_1_BayouBelle_G2","t1","t3",29,22,7,51,0,0,0,0,17,96,15,0,0,0,0,66,0,60,114,0,0,0,256,98,489,207,0,0,0,0,3,0,3,5,0,1,120,444,0,0,0,0,"0x00b06040",124,"0x00a06040",95,"0x00a05030",74,"0x00905030",66,"0x00a05040",59,"0x00c06040",57,"0x00b05040",39,"0x00b05030",27,"0x00b07050",27,"0x00904030",25,"0x00805030",24,"0x00d05040",24,"0x00b07040",23,"0x00c05040",23,"0x00d06040",21,"0x00c05030",18,"0x00905040",16,"0x00a07050",15,"0x00906040",14,"0x00c07050",12,"11012021  11:01:20"
